demand_type,contribution_type,item,variant_id,units,value,source_field_id,source_label,excel_row
heating,loss,walls_ag,code_min,kWh,3051.30040824,heating_demand.walls_ag,Walls (AG),376
heating,loss,walls_bg,code_min,kWh,208.842921112,heating_demand.walls_bg,Walls (BG),377
heating,loss,roofs,code_min,kWh,1148.45738561,heating_demand.roofs,Roofs,378
heating,loss,floor_slabs,code_min,kWh,1979.84975384,heating_demand.floor_slabs,Floor Slabs,379
heating,loss,windows,code_min,kWh,8054.2952885,heating_demand.windows,Windows,383
heating,loss,thermal_bridges,code_min,kWh,3431.39044063,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,code_min,kWh,10142.3108516,heating_demand.ventilation,Ventilation,388
heating,gain,heating_demand,code_min,kWh,16642.1970811,heating_demand.heating_demand,Heating Demand,389
heating,gain,north,code_min,kWh,1357.3978936,heating_demand.north,North,390
heating,gain,east,code_min,kWh,0,heating_demand.east,East,391
heating,gain,south,code_min,kWh,3547.82398146,heating_demand.south,South,392
heating,gain,west,code_min,kWh,1344.08788247,heating_demand.west,West,393
heating,gain,horizontal,code_min,kWh,0,heating_demand.horizontal,Horizontal,394
heating,gain,sum_opaque_areas,code_min,kWh,1248.96422402,heating_demand.sum_opaque_areas,Sum opaque areas,395
heating,gain,internal_gains,code_min,kWh,4784.6480761,heating_demand.internal_gains,Internal Gains,396
heating,limit,demand_limit,code_min,kWh,7337.265785,certification_limits.heat_demand_limit,Heat Demand Limit,363
cooling,loss,cooling_demand_2,code_min,kWh,3171.49085602,cooling_demand.cooling_demand_2,Cooling Demand,399
cooling,loss,walls_ag,code_min,kWh,2519.58569541,cooling_demand.walls_ag,Walls (AG),400
cooling,loss,walls_bg,code_min,kWh,241.683331527,cooling_demand.walls_bg,Walls (BG),401
cooling,loss,roofs,code_min,kWh,948.329044481,cooling_demand.roofs,Roofs,402
cooling,loss,floor_slabs,code_min,kWh,2291.17981057,cooling_demand.floor_slabs,Floor Slabs,403
cooling,loss,windows,code_min,kWh,6650.76671597,cooling_demand.windows,Windows,407
cooling,loss,thermal_bridges,code_min,kWh,2833.44184868,cooling_demand.thermal_bridges,Thermal Bridges,409
cooling,loss,ventilation_basic,code_min,kWh,3618.32665839,cooling_demand.ventilation_basic,Ventilation (Basic),412
cooling,loss,ventilation_addn_l,code_min,kWh,0,cooling_demand.ventilation_addn_l,Ventilation (Addn'l),413
cooling,gain,north,code_min,kWh,1243.67541459,cooling_demand.north,North,414
cooling,gain,east,code_min,kWh,0,cooling_demand.east,East,415
cooling,gain,south,code_min,kWh,3554.91368836,cooling_demand.south,South,416
cooling,gain,west,code_min,kWh,1654.36533224,cooling_demand.west,West,417
cooling,gain,horizontal,code_min,kWh,0,cooling_demand.horizontal,Horizontal,418
cooling,gain,sum_opaque_areas,code_min,kWh,1704.59516585,cooling_demand.sum_opaque_areas,Sum opaque areas,419
cooling,gain,internal_gains,code_min,kWh,5768.55660947,cooling_demand.internal_gains,Internal Gains,420
cooling,limit,demand_limit,code_min,kWh,5869.812628,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
heating,loss,walls_ag,ph_assemblies,kWh,3220.34645263,heating_demand.walls_ag,Walls (AG),376
heating,loss,walls_bg,ph_assemblies,kWh,354.438933808,heating_demand.walls_bg,Walls (BG),377
heating,loss,roofs,ph_assemblies,kWh,881.091417128,heating_demand.roofs,Roofs,378
heating,loss,floor_slabs,ph_assemblies,kWh,896.030160999,heating_demand.floor_slabs,Floor Slabs,379
heating,loss,windows,ph_assemblies,kWh,8032.98555108,heating_demand.windows,Windows,383
heating,loss,thermal_bridges,ph_assemblies,kWh,2720.83970633,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,ph_assemblies,kWh,10115.4767248,heating_demand.ventilation,Ventilation,388
heating,gain,heating_demand,ph_assemblies,kWh,15127.7157035,heating_demand.heating_demand,Heating Demand,389
heating,gain,north,ph_assemblies,kWh,1357.3978936,heating_demand.north,North,390
heating,gain,east,ph_assemblies,kWh,0,heating_demand.east,East,391
heating,gain,south,ph_assemblies,kWh,3547.82398146,heating_demand.south,South,392
heating,gain,west,ph_assemblies,kWh,1344.08788247,heating_demand.west,West,393
heating,gain,horizontal,ph_assemblies,kWh,0,heating_demand.horizontal,Horizontal,394
heating,gain,sum_opaque_areas,ph_assemblies,kWh,1108.70505504,heating_demand.sum_opaque_areas,Sum opaque areas,395
heating,gain,internal_gains,ph_assemblies,kWh,4784.6480761,heating_demand.internal_gains,Internal Gains,396
heating,limit,demand_limit,ph_assemblies,kWh,7337.265785,certification_limits.heat_demand_limit,Heat Demand Limit,363
cooling,loss,cooling_demand_2,ph_assemblies,kWh,3458.89981243,cooling_demand.cooling_demand_2,Cooling Demand,399
cooling,loss,walls_ag,ph_assemblies,kWh,2123.2824628,cooling_demand.walls_ag,Walls (AG),400
cooling,loss,walls_bg,ph_assemblies,kWh,387.512118529,cooling_demand.walls_bg,Walls (BG),401
cooling,loss,roofs,ph_assemblies,kWh,580.933133013,cooling_demand.roofs,Roofs,402
cooling,loss,floor_slabs,ph_assemblies,kWh,979.639968511,cooling_demand.floor_slabs,Floor Slabs,403
cooling,loss,windows,ph_assemblies,kWh,5296.41689037,cooling_demand.windows,Windows,407
cooling,loss,thermal_bridges,ph_assemblies,kWh,1793.9409059,cooling_demand.thermal_bridges,Thermal Bridges,409
