metric_group,end_use,variant_id,units,value,source_field_id,source_label,excel_row
site_energy,heating,code_min,kWh,10113.4996469,site_energy.heating,Heating,423
site_energy,cooling,code_min,kWh,2387.65947215,site_energy.cooling,Cooling,424
site_energy,dhw,code_min,kWh,3441.15610023,site_energy.dhw,DHW,425
site_energy,dishwashing,code_min,kWh,113.867887278,site_energy.dishwashing,Dishwashing,426
site_energy,clothes_washing,code_min,kWh,65.3500275336,site_energy.clothes_washing,Clothes Washing,427
site_energy,clothes_drying,code_min,kWh,310.113815021,site_energy.clothes_drying,Clothes Drying,428
site_energy,refrigerator,code_min,kWh,445.3,site_energy.refrigerator,Refrigerator,429
site_energy,cooking,code_min,kWh,408.357899562,site_energy.cooking,Cooking,430
site_energy,phi_lighting,code_min,kWh,197.579886124,site_energy.phi_lighting,PHI Lighting,431
site_energy,phi_consumer_elec,code_min,kWh,612.589439363,site_energy.phi_consumer_elec,PHI Consumer Elec.,432
site_energy,phi_small_appliances,code_min,kWh,65.8204474829,site_energy.phi_small_appliances,PHI Small Appliances,433
site_energy,phius_int_lighting,code_min,kWh,0,site_energy.phius_int_lighting,Phius Int. Lighting,434
site_energy,phius_ext_lighting,code_min,kWh,0,site_energy.phius_ext_lighting,Phius Ext. Lighting,435
site_energy,phius_mel,code_min,kWh,0,site_energy.phius_mel,Phius MEL,436
site_energy,aux_elec,code_min,kWh,0,site_energy.aux_elec,Aux Elec,437
site_energy,solar_pv,code_min,kWh,0,site_energy.solar_pv,Solar PV,438
primary_energy,heating,code_min,kWh,26295.0990819,primary_energy.heating,Heating,441
phius_net_source_energy,heating,code_min,kWh,26295.0990819,primary_energy.heating,Heating,441
primary_energy,cooling,code_min,kWh,6207.91462758,primary_energy.cooling,Cooling,442
phius_net_source_energy,cooling,code_min,kWh,6207.91462758,primary_energy.cooling,Cooling,442
primary_energy,dhw,code_min,kWh,8947.0058606,primary_energy.dhw,DHW,443
phius_net_source_energy,dhw,code_min,kWh,8947.0058606,primary_energy.dhw,DHW,443
primary_energy,dishwashing,code_min,kWh,296.056506922,primary_energy.dishwashing,Dishwashing,444
phius_net_source_energy,dishwashing,code_min,kWh,296.056506922,primary_energy.dishwashing,Dishwashing,444
primary_energy,clothes_washing,code_min,kWh,169.910071587,primary_energy.clothes_washing,Clothes Washing,445
phius_net_source_energy,clothes_washing,code_min,kWh,169.910071587,primary_energy.clothes_washing,Clothes Washing,445
primary_energy,clothes_drying,code_min,kWh,806.295919055,primary_energy.clothes_drying,Clothes Drying,446
phius_net_source_energy,clothes_drying,code_min,kWh,806.295919055,primary_energy.clothes_drying,Clothes Drying,446
primary_energy,refrigerator,code_min,kWh,1157.78,primary_energy.refrigerator,Refrigerator,447
phius_net_source_energy,refrigerator,code_min,kWh,1157.78,primary_energy.refrigerator,Refrigerator,447
primary_energy,cooking,code_min,kWh,1061.73053886,primary_energy.cooking,Cooking,448
phius_net_source_energy,cooking,code_min,kWh,1061.73053886,primary_energy.cooking,Cooking,448
primary_energy,phi_lighting,code_min,kWh,513.707703923,primary_energy.phi_lighting,PHI Lighting,449
phius_net_source_energy,phi_lighting,code_min,kWh,513.707703923,primary_energy.phi_lighting,PHI Lighting,449
primary_energy,phi_consumer_elec,code_min,kWh,1592.73254234,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
phius_net_source_energy,phi_consumer_elec,code_min,kWh,1592.73254234,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
primary_energy,phi_small_appliances,code_min,kWh,171.133163455,primary_energy.phi_small_appliances,PHI Small Appliances,451
phius_net_source_energy,phi_small_appliances,code_min,kWh,171.133163455,primary_energy.phi_small_appliances,PHI Small Appliances,451
primary_energy,phius_int_lighting,code_min,kWh,0,primary_energy.phius_int_lighting,Phius Int. Lighting,452
phius_net_source_energy,phius_int_lighting,code_min,kWh,0,primary_energy.phius_int_lighting,Phius Int. Lighting,452
primary_energy,phius_ext_lighting,code_min,kWh,0,primary_energy.phius_ext_lighting,Phius Ext. Lighting,453
phius_net_source_energy,phius_ext_lighting,code_min,kWh,0,primary_energy.phius_ext_lighting,Phius Ext. Lighting,453
primary_energy,phius_mel,code_min,kWh,0,primary_energy.phius_mel,Phius MEL,454
phius_net_source_energy,phius_mel,code_min,kWh,0,primary_energy.phius_mel,Phius MEL,454
primary_energy,aux_elec,code_min,kWh,0,primary_energy.aux_elec,Aux Elec,455
phius_net_source_energy,aux_elec,code_min,kWh,0,primary_energy.aux_elec,Aux Elec,455
primary_energy,solar_pv,code_min,kWh,0,primary_energy.solar_pv,Solar PV,456
phius_net_source_energy,solar_pv,code_min,kWh,0,primary_energy.solar_pv,Solar PV,456
per,heating,code_min,kWh,15170.2494703,primary_energy_renewable.heating,Heating,520
per,cooling,code_min,kWh,3700.87218183,primary_energy_renewable.cooling,Cooling,521
per,dhw,code_min,kWh,3957.32951527,primary_energy_renewable.dhw,DHW,522
per,dishwashing,code_min,kWh,136.641464733,primary_energy_renewable.dishwashing,Dishwashing,523
per,clothes_washing,code_min,kWh,78.4200330403,primary_energy_renewable.clothes_washing,Clothes Washing,524
per,clothes_drying,code_min,kWh,372.136578026,primary_energy_renewable.clothes_drying,Clothes Drying,525
per,refrigerator,code_min,kWh,534.36,primary_energy_renewable.refrigerator,Refrigerator,526
per,cooking,code_min,kWh,490.029479475,primary_energy_renewable.cooking,Cooking,527
per,phi_lighting,code_min,kWh,237.095863349,primary_energy_renewable.phi_lighting,PHI Lighting,528
per,phi_consumer_elec,code_min,kWh,735.107327236,primary_energy_renewable.phi_consumer_elec,PHI Consumer Elec.,529
per,phi_small_appliances,code_min,kWh,78.9845369794,primary_energy_renewable.phi_small_appliances,PHI Small Appliances,530
per,phius_int_lighting,code_min,kWh,0,primary_energy_renewable.phius_int_lighting,Phius Int. Lighting,531
per,phius_ext_lighting,code_min,kWh,0,primary_energy_renewable.phius_ext_lighting,Phius Ext. Lighting,532
per,phius_mel,code_min,kWh,0,primary_energy_renewable.phius_mel,Phius MEL,533
per,aux_elec,code_min,kWh,0,primary_energy_renewable.aux_elec,Aux Elec,534
per,solar_pv,code_min,kWh,0,primary_energy_renewable.solar_pv,Solar PV,535
co2e,heating,code_min,tonsCO2e,2.91121699092,co2e.heating,Heating,502
co2e,cooling,code_min,tonsCO2e,0.687298666785,co2e.cooling,Cooling,503
