row_type,room_name,amount,allocation_to_vent_unit,room_area_ft2,room_volume_ft3,room_height_ft,v_sup_high_cfm,v_eta_high_cfm,v_sup_med_cfm,v_eta_med_cfm,v_sup_low_cfm,v_eta_low_cfm,excel_row
room,101-VESTIBULE,1,1,18.8232781784,211.823635595,11.2532808399,0,0,0,0,0,0,31
room,102-LIVING ROOM,1,1,201.063759337,2262.62694976,11.2532808399,23.54311116,0,18.1281955932,0,11.77155558,0,32
room,103-DINING ROOM,1,1,197.368870725,2221.04733055,11.2532808399,23.54311116,0,18.1281955932,0,11.77155558,0,33
room,104-KITCHEN,1,1,293.590332572,3303.85446316,11.2532808399,0,35.31466674,0,27.1922933898,0,17.65733337,34
room,105-POWDER ROOM,1,1,14.2019527427,159.818562633,11.2532808399,0,25.897422276,0,19.9410151525,0,12.948711138,35
room,201-HALL,1,1,112.259354925,1160.16065581,10.3346456692,0,0,0,0,0,0,36
room,202-LAUNDRY ROOM,1,1,87.4746833094,904.019856722,10.3346456692,0,23.54311116,0,18.1281955932,0,11.77155558,37
room,203 CL-CLOSET,1,1,11.9623498543,123.626647073,10.3346456692,0,0,0,0,0,0,38
room,203-BEDROOM 1,1,1,164.546350011,1700.52822294,10.3346456693,23.54311116,0,18.1281955932,0,11.77155558,0,39
room,204-BATHROOM 1,1,1,42.0217591142,434.279990695,10.3346456692,0,25.897422276,0,19.9410151525,0,12.948711138,40
room,205-BATHROOM 2,1,1,40.0525106728,413.928505825,10.3346456692,0,25.897422276,0,19.9410151525,0,12.948711138,41
room,206 CL-CLOSET,1,1,11.9623498543,123.626647073,10.3346456692,0,0,0,0,0,0,42
room,206-BEDROOM 2,1,1,145.20694954,1500.66237169,10.3346456692,23.54311116,0,18.1281955932,0,11.77155558,0,43
room,207-BEDROOM 3,1,1,104.77736792,1082.83697124,10.3346456692,23.54311116,0,18.1281955932,0,11.77155558,0,44
room,301-HALL,1,1,115.203303465,990.264616054,8.5958005249,0,0,0,0,0,0,45
room,302-LOUNGE/OFFICE,1,1,208.577343323,1792.8892366,8.5958005249,23.54311116,0,18.1281955932,0,11.77155558,0,46
room,303-PRIMARY BATHROOM,1,1,101.923626535,876.115162165,8.5958005249,0,35.31466674,0,27.1922933898,0,17.65733337,47
room,304-PRIMARY WALK-IN CLOSET,1,1,69.2040630242,594.864321064,8.5958005249,11.77155558,0,9.0640977966,0,5.88577779,0,48
room,305-PRIMARY BEDROOM,1,1,240.326323489,2065.79713688,8.5958005249,23.54311116,0,18.1281955932,0,11.77155558,0,49
room,401-BULKHEAD,1,1,30.5718143798,230.692824964,7.5459317585,0,11.77155558,0,9.0640977966,0,5.88577779,50
room,402-OFFICE,1,1,52.4754643998,395.976273221,7.5459317585,11.77155558,0,9.0640977966,0,5.88577779,0,51
room,B01-FOYER,1,1,61.02000001,488.480314871,8.0052493438,25.897422276,0,19.9410151525,0,12.948711138,0,52
room,B02-HALL,1,1,79.6308886249,637.465118691,8.0052493438,0,0,0,0,0,0,53
room,B03 CL-CLOSET,1,1,5.16677387679,41.3613131725,8.0052493438,0,0,0,0,0,0,54
room,B03-GUEST BEDROOM,1,1,139.602374311,1117.55181496,8.0052493438,23.54311116,0,18.1281955932,0,11.77155558,0,55
room,B04-GUEST BATHROOM,1,1,36.788231053,294.498962395,8.0052493438,0,25.897422276,0,19.9410151525,0,12.948711138,56
room,B05-POWDER ROOM,1,1,16.5216606525,132.260013052,8.0052493438,0,25.897422276,0,19.9410151525,0,12.948711138,57
room,B06-MUDROOM,1,1,81.2131408076,650.131441934,8.0052493438,0,25.897422276,0,19.9410151525,0,12.948711138,58
room,B07-FAMILY ROOM,1,1,504.657228701,4669.07278361,9.2519685039,35.31466674,0,27.1922933898,0,17.65733337,0,59
room,C01 BENCH-PLAY AREA,1,1,58.3164555396,419.00602883,7.18503937005,0,0,0,0,0,0,60
room,C01-PLAY AREA,1,1,253.611785536,2471.21720072,9.74409448815,23.54311116,0,18.1281955932,0,11.77155558,0,61
room,C02 BENCH-GYM,1,1,142.366649187,882.785324373,6.20078740155,0,0,0,0,0,0,62
room,C02-GYM,1,1,185.157505511,1573.35281859,8.49737532805,0,23.54311116,0,18.1281955932,0,11.77155558,63
room,ST-01-STAIR,1,1,43.4875029937,489.377084044,11.2532808399,0,0,0,0,0,0,64
room,ST-02-STAIR,1,1,56.0068497631,578.810947153,10.3346456692,0,0,0,0,0,0,65
room,ST-03-STAIR,1,1,54.9253429693,472.127291764,8.5958005249,0,0,0,0,0,0,66
room,ST-04-STAIR,1,1,121.237080689,914.846737168,7.5459317585,0,0,0,0,0,0,67
room,ST-B-STAIR,1,1,39.6632892747,317.51452033,8.0052493438,0,0,0,0,0,0,68
room,ST-C-STAIR,1,1,57.9276791694,416.212655304,7.18503937005,0,0,0,0,0,0,69
total,Totals,,1,4200.89424604,39115.5127527,,296.643200616,284.871645036,228.415264474,219.351166678,148.321600308,142.435822518,
