section,field_id,phpp_label,variant_id,variant_name,datatype,units,value,excel_row
geometry,geometry.tfa,TFA,code_min,Code Min,TFA,m2,366.86328925,316
geometry,geometry.tfa,TFA,ph_assemblies,PH Assemblies,TFA,m2,366.86328925,316
geometry,geometry.tfa,TFA,airtightness_erv,Airtightness + ERV,TFA,m2,366.86328925,316
geometry,geometry.tfa,TFA,ph_windows,PH Windows,TFA,m2,366.86328925,316
geometry,geometry.vv,VV,code_min,Code Min,VV,m3,917.158223124,317
geometry,geometry.vv,VV,ph_assemblies,PH Assemblies,VV,m3,917.158223124,317
geometry,geometry.vv,VV,airtightness_erv,Airtightness + ERV,VV,m3,917.158223124,317
geometry,geometry.vv,VV,ph_windows,PH Windows,VV,m3,917.158223124,317
geometry,geometry.vn50,Vn50,code_min,Code Min,Vn50,m3,1107.62797403,318
geometry,geometry.vn50,Vn50,ph_assemblies,PH Assemblies,Vn50,m3,1107.62797403,318
geometry,geometry.vn50,Vn50,airtightness_erv,Airtightness + ERV,Vn50,m3,1107.62797403,318
geometry,geometry.vn50,Vn50,ph_windows,PH Windows,Vn50,m3,1107.62797403,318
geometry,geometry.building_envelope_area,Building Envelope Area,code_min,Code Min,Building Envelope Area,m2,480.22931822,319
geometry,geometry.building_envelope_area,Building Envelope Area,ph_assemblies,PH Assemblies,Building Envelope Area,m2,480.22931822,319
geometry,geometry.building_envelope_area,Building Envelope Area,airtightness_erv,Airtightness + ERV,Building Envelope Area,m2,480.22931822,319
geometry,geometry.building_envelope_area,Building Envelope Area,ph_windows,PH Windows,Building Envelope Area,m2,480.22931822,319
geometry,geometry.gross_volume,Gross Volume,code_min,Code Min,Gross Volume,m3,1439.91636624,320
geometry,geometry.gross_volume,Gross Volume,ph_assemblies,PH Assemblies,Gross Volume,m3,1439.91636624,320
geometry,geometry.gross_volume,Gross Volume,airtightness_erv,Airtightness + ERV,Gross Volume,m3,1439.91636624,320
geometry,geometry.gross_volume,Gross Volume,ph_windows,PH Windows,Gross Volume,m3,1439.91636624,320
geometry,geometry.window_area_north,Window Area (North),code_min,Code Min,Window Area (North),m2,28.0059093384,321
geometry,geometry.window_area_north,Window Area (North),ph_assemblies,PH Assemblies,Window Area (North),m2,28.0059093384,321
geometry,geometry.window_area_north,Window Area (North),airtightness_erv,Airtightness + ERV,Window Area (North),m2,28.0059093384,321
geometry,geometry.window_area_north,Window Area (North),ph_windows,PH Windows,Window Area (North),m2,28.0059093384,321
geometry,geometry.window_area_east,Window Area (East),code_min,Code Min,Window Area (East),m2,0,322
geometry,geometry.window_area_east,Window Area (East),ph_assemblies,PH Assemblies,Window Area (East),m2,0,322
geometry,geometry.window_area_east,Window Area (East),airtightness_erv,Airtightness + ERV,Window Area (East),m2,0,322
geometry,geometry.window_area_east,Window Area (East),ph_windows,PH Windows,Window Area (East),m2,0,322
geometry,geometry.window_area_south,Window Area (South),code_min,Code Min,Window Area (South),m2,24.8864453602,323
geometry,geometry.window_area_south,Window Area (South),ph_assemblies,PH Assemblies,Window Area (South),m2,24.8864453602,323
geometry,geometry.window_area_south,Window Area (South),airtightness_erv,Airtightness + ERV,Window Area (South),m2,24.8864453602,323
geometry,geometry.window_area_south,Window Area (South),ph_windows,PH Windows,Window Area (South),m2,24.8864453602,323
geometry,geometry.window_area_west,Window Area (West),code_min,Code Min,Window Area (West),m2,11.6683408686,324
geometry,geometry.window_area_west,Window Area (West),ph_assemblies,PH Assemblies,Window Area (West),m2,11.6683408686,324
